"SGG_CD","SE_CD","FCLT_CD","FCLT_NM","FCLT_DSGN_DAY","FCLT_SE_CD","EMD_CD","EMD_NM","FCLT_ADDR_LOTNO","FCLT_SCL","SCL_UNIT","FCLT_ADDR_RONA","LOT_PROVIN","LOT_MIN","LOT_SEC","LAT_PROVIN","LAT_MIN","LAT_SEC","GRND_UDGD_SE","SHNT_PSBLTY_NOPE","OPN_YN","MNG_INST_NM","ORTM_UTLZ_TYPE","MNG_INST_TELNO","ROAD_NM_CD"
"시군구코드","구분코드","시설코드","시설명","시설지정일","시설구분코드","읍면동코드","읍면동명","시설주소지번","시설규모","규모단위","시설주소도로명","경도도","경도분","경도초","위도도","위도분","위도초","지상지하구분","대피가능인원수","개방여부","관리기관명","평상시활용유형","관리기관전화번호","도로명코드"
"5630000","2","S201100019","서그내마을 용인서천아이파크 전체 동의 지하주차장 1층","20110217","3           ","5630012     ","기흥구 서농동","경기도 용인시 기흥구 서천동 708번지","14772","㎡","경기도 용인시 기흥구 서그내로16번길 14 (서천동, 서그내마을 서천아이파크)","127","4","21","37","14","46","1","17905","Y","경기도 용인시 기흥구청","주차장","031-6193-6002","4412152     "
"5630000","2","S200600001","서그내마을 SK아파트 전체 동의 지하주차장 1층","20060103","3           ","5630012     ","기흥구 서농동","경기도 용인시 기흥구 서천동 700 서그내마을에스케이아파트","14161","㎡","경기도 용인시 기흥구 예현로 15 (서천동, 서그내마을에스케이아파트)","127","4","18","37","14","40","1","17164","Y","경기도 용인시 기흥구청","주차장","031-6193-6002","3204049     "
"5630000","2","S200600002","예현마을 현대홈타운아파트 전체 동의 지하주차장 1층","20060103","3           ","5630012     ","기흥구 서농동","경기도 용인시 기흥구 서천동 705번지","15193","㎡","경기도 용인시 기흥구 예현로35번길 21 (서천동, 예현마을현대홈타운)","127","4","5","37","14","29","1","18415","Y","경기도 용인시 기흥구청","주차장","031-6193-6002","4412203     "
"5630000","2","S201100074","서천마을 휴먼시아3단지아파트 전체 동의 지하주차장 1층","20111109","3           ","5630012     ","기흥구 서농동","경기도 용인시 기흥구 농서동 395번지","10814","㎡","경기도 용인시 기흥구 서천서로 125 (농서동, 서천마을3단지)","127","4","10","37","14","9","1","13107","Y","경기도 용인시 기흥구청","주차장","031-6193-6002","3204080     "
"3680000","2","S199800008","대전보훈병원 지하주차장 1층","19980101","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 220번지","10693","㎡","대전광역시 대덕구 대청로82번길 147 (신탄진동, 대전보훈병원)","127","26","23","36","26","51","1","12961","Y","대전광역시 대덕구청","주차장","042-608-6420","4304106     "
"3680000","2","S199200015","거성아파트 나동 지하주차장 1층","19920101","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 175번지 13호","490","㎡","대전광역시 대덕구 신탄진로778번길 12 (신탄진동, 거성아파트)","127","25","49","36","26","49","1","593","Y","대전광역시 대덕구청","주차장","042-608-6420","4304353     "
"3680000","1","E199500002","신탄진어린이공원","19951011","2           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 21","219","t(톤)","대전광역시 대덕구 대청로64번길 70(신탄진동)","127","26","8","36","27","1","0","0","Y","대전광역시 대덕구청","생활용수","042-608-6420","4304105     "
"3680000","2","S199200016","거성아파트 가동 지하주차장 1층","19920101","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 175번지 29호","530","㎡","대전광역시 대덕구 신탄진로778번길 16 (신탄진동, 거성아파트)","127","25","49","36","26","48","1","642","Y","대전광역시 대덕구청","주차장","042-608-6420","4304353     "
"3680000","2","S199200017","홍림아파트 부설 지하주차장 1층","19920101","3           ","3680031     ","신탄진동","대전광역시 대덕구 신탄진동 175번지 30호","554","㎡","대전광역시 대덕구 신탄진로772번길 11 (신탄진동, 홍림아파트)","127","25","49","36","26","47","1","671","Y","대전광역시 대덕구청","주차장","042-608-6420","4304352     "
